#,Name,Type,Attack,Defense,HP,Catch,Flee,Fast Moves,Charge Moves
0034,Nidoking,Poison Ground,204,156,191,12.5%,5%,"Double Kick, Iron Tail, Poison Jab, Fury Cutter (legacy)","Earth Power, Earthquake, Megahorn, Sand Tomb, Sludge Wave, Frustration (Shadow), Return (Purified)"
0035,Clefairy,Fairy,107,108,172,30%,10%,"Pound, Zen Headbutt","Body Slam, Disarming Voice, Moonblast"
0036,Clefable,Fairy,178,162,216,10%,6%,"Charge Beam, Charm, Fairy Wind, Zen Headbutt, Pound (legacy)","Dazzling Gleam, Meteor Mash, Moonblast, Psychic"
0037,Vulpix,Fire,96,109,116,30%,10%,"Ember, Quick Attack","Body Slam, Flame Charge, Flamethrower, Weather Ball - Fire, Frustration (Shadow), Return (Purified)"
0037,Vulpix Alolan Vulpix,Ice,96,109,116,30%,10%,"Powder Snow, Zen Headbutt","Blizzard, Dark Pulse, Ice Beam, Weather Ball - Ice, Frustration (Shadow), Return (Purified)"
0038,Ninetales,Fire,169,190,177,10%,6%,"Feint Attack, Fire Spin, Ember (legacy)","Heat Wave, Overheat, Psyshock, Scorching Sands, Solar Beam, Weather Ball - Fire, Fire Blast (legacy), Flamethrower (legacy), Frustration (Shadow), Return (Purified)"
0038,Ninetales Alolan Ninetales,Ice Fairy,170,193,177,10%,6%,"Charm, Feint Attack, Powder Snow","Blizzard, Dazzling Gleam, Ice Beam, Psyshock, Weather Ball - Ice, Frustration (Shadow), Return (Purified)"
0039,Jigglypuff,Normal Fairy,80,41,251,50%,10%,"Feint Attack, Pound","Dazzling Gleam, Disarming Voice, Gyro Ball, Body Slam (legacy), Play Rough (legacy)"
0040,Wigglytuff,Normal Fairy,156,90,295,20%,6%,"Charm, Feint Attack, Pound","Dazzling Gleam, Disarming Voice, Hyper Beam, Ice Beam, Play Rough"
0041,Zubat,Poison Flying,83,73,120,50%,20%,"Bite, Quick Attack","Air Cutter, Poison Fang, Swift, Sludge Bomb (legacy), Frustration (Shadow), Return (Purified)"
0042,Golbat,Poison Flying,161,150,181,20%,7%,"Bite, Wing Attack","Air Cutter, Poison Fang, Shadow Ball, Ominous Wind (legacy), Frustration (Shadow), Return (Purified)"
0043,Oddish,Grass Poison,131,112,128,60%,15%,"Acid, Razor Leaf","Moonblast, Seed Bomb, Sludge Bomb, Frustration (Shadow), Return (Purified)"
0044,Gloom,Grass Poison,153,136,155,30%,7%,"Acid, Razor Leaf","Moonblast, Petal Blizzard, Sludge Bomb, Frustration (Shadow), Return (Purified)"
0045,Vileplume,Grass Poison,202,167,181,15%,5%,"Acid, Razor Leaf","Moonblast, Petal Blizzard, Sludge Bomb, Solar Beam, Frustration (Shadow), Return (Purified)"
0046,Paras,Bug Grass,121,99,111,40%,15%,"Bug Bite, Scratch","Cross Poison, Seed Bomb, X-Scissor"
0047,Parasect,Bug Grass,165,146,155,20%,7%,"Fury Cutter, Struggle Bug, Bug Bite (legacy)","Cross Poison, Solar Beam, X-Scissor"
0048,Venonat,Bug Poison,100,100,155,50%,15%,"Bug Bite, Confusion","Poison Fang, Psybeam, Signal Beam, Frustration (Shadow), Return (Purified)"
0049,Venomoth,Bug Poison,179,143,172,20%,7%,"Confusion, Infestation, Bug Bite (legacy)","Bug Buzz, Poison Fang, Psychic, Silver Wind, Frustration (Shadow), Return (Purified)"
0050,Diglett,Ground,109,78,67,50%,10%,"Mud-Slap, Scratch","Dig, Mud Bomb, Rock Tomb, Frustration (Shadow), Return (Purified)"
0050,Diglett Alolan Diglett,Ground Steel,108,81,67,50%,10%,"Metal Claw, Mud-Slap","Dig, Mud Bomb, Rock Tomb, Frustration (Shadow), Return (Purified)"
0051,Dugtrio,Ground,167,134,111,20%,6%,"Mud-Slap, Sucker Punch","Earthquake, Mud Bomb, Stone Edge, Frustration (Shadow), Return (Purified)"
0051,Dugtrio Alolan Dugtrio,Ground Steel,201,142,111,20%,6%,"Metal Claw, Mud-Slap","Earthquake, Iron Head, Mud Bomb, Frustration (Shadow), Return (Purified)"
0052,Meowth,Normal,92,78,120,50%,15%,"Bite, Scratch","Dark Pulse, Foul Play, Night Slash, Body Slam (legacy), Frustration (Shadow), Return (Purified)"
0052,Meowth Alolan Meowth,Dark,99,78,120,50%,15%,"Bite, Scratch","Dark Pulse, Foul Play, Night Slash, Frustration (Shadow), Return (Purified)"
0052,Meowth Galarian Meowth,Steel,115,92,137,45%,10%,"Metal Claw, Scratch","Dig, Gyro Ball, Night Slash, Trailblaze, Frustration (Shadow), Return (Purified)"
0053,Persian,Normal,150,136,163,20%,7%,"Feint Attack, Scratch","Foul Play, Payback, Play Rough, Power Gem, Night Slash (legacy), Frustration (Shadow), Return (Purified)"
0053,Persian Alolan Persian,Dark,158,136,163,20%,7%,"Feint Attack, Scratch","Dark Pulse, Foul Play, Payback, Play Rough, Frustration (Shadow), Return (Purified)"
0054,Psyduck,Water,122,95,137,50%,10%,"Water Gun, Zen Headbutt","Aqua Tail, Cross Chop, Psybeam, Frustration (Shadow), Return (Purified)"
0055,Golduck,Water,191,162,190,20%,6%,"Confusion, Water Gun","Bubble Beam, Cross Chop, Hydro Pump, Ice Beam, Liquidation, Psychic, Synchronoise, Frustration (Shadow), Return (Purified)"
0056,Mankey,Fighting,148,82,120,50%,10%,"Karate Chop, Scratch","Brick Break, Cross Chop, Low Sweep"
0057,Primeape,Fighting,207,138,163,20%,6%,"Counter, Low Kick, Karate Chop (legacy)","Close Combat, Ice Punch, Low Sweep, Night Slash, Cross Chop (legacy)"
0058,Growlithe,Fire,136,93,146,30%,10%,"Bite, Ember","Body Slam, Flame Wheel, Flamethrower, Frustration (Shadow), Return (Purified)"
0058,Growlithe Hisuian Growlithe,Fire Rock,142,92,155,30%,10%,"Bite, Ember","Crunch, Flamethrower, Rock Slide, Frustration (Shadow), Return (Purified)"
0059,Arcanine,Fire,227,166,207,10%,6%,"Fire Fang, Snarl, Thunder Fang, Bite (legacy)","Crunch, Fire Blast, Flamethrower, Psychic Fangs, Scorching Sands, Wild Charge, Bulldoze (legacy), Frustration (Shadow), Return (Purified)"
0059,Arcanine Hisuian Arcanine,Fire Rock,232,165,216,10%,6%,"Fire Fang, Rock Smash, Snarl","Crunch, Flamethrower, Rock Slide, Wild Charge, Frustration (Shadow), Return (Purified)"
0060,Poliwag,Water,101,82,120,50%,15%,"Bubble, Mud Shot","Body Slam, Bubble Beam, Mud Bomb, Frustration (Shadow), Return (Purified)"
0061,Poliwhirl,Water,130,123,163,25%,7%,"Bubble, Mud Shot","Bubble Beam, Mud Bomb, Water Pulse, Scald (legacy), Frustration (Shadow), Return (Purified)"
0062,Poliwrath,Water Fighting,182,184,207,12.5%,5%,"Bubble, Mud Shot, Rock Smash, Counter (Community Day)","Dynamic Punch, Hydro Pump, Ice Punch, Power-Up Punch, Scald, Submission (legacy), Frustration (Shadow), Return (Purified)"
0063,Abra,Psychic,195,82,93,50%,99%,"Charge Beam, Zen Headbutt","Psyshock, Shadow Ball, Signal Beam, Frustration (Shadow), Return (Purified)"
0064,Kadabra,Psychic,232,117,120,25%,7%,"Confusion, Psycho Cut","Dazzling Gleam, Psybeam, Shadow Ball, Frustration (Shadow), Return (Purified)"
0065,Alakazam,Psychic,271,167,146,10%,5%,"Confusion, Psycho Cut, Counter (Community Day)","Fire Punch, Focus Blast, Future Sight, Shadow Ball, Dazzling Gleam (legacy), Psychic (legacy), Frustration (Shadow), Return (Purified)"
0065,Alakazam Mega Alakazam,Psychic,367,207,146,10%,5%,,
0066,Machop,Fighting,137,82,172,50%,10%,"Karate Chop, Rock Smash, Low Kick (legacy)","Brick Break, Cross Chop, Low Sweep, Frustration (Shadow), Return (Purified)"
0067,Machoke,Fighting,177,125,190,25%,7%,"Karate Chop, Low Kick","Brick Break, Dynamic Punch, Submission, Cross Chop (legacy), Frustration (Shadow), Return (Purified)"
0068,Machamp,Fighting,234,159,207,10%,5%,"Bullet Punch, Counter, Karate Chop (legacy)","Close Combat, Cross Chop, Dynamic Punch, Heavy Slam, Rock Slide, Stone Edge (legacy), Submission (legacy), Payback (Community Day), Frustration (Shadow), Return (Purified)"
0069,Bellsprout,Grass Poison,139,61,137,50%,15%,"Acid, Vine Whip","Power Whip, Sludge Bomb, Wrap, Frustration (Shadow), Return (Purified)"
0070,Weepinbell,Grass Poison,172,92,163,25%,7%,"Acid, Bullet Seed, Razor Leaf (legacy)","Power Whip, Seed Bomb, Sludge Bomb, Frustration (Shadow), Return (Purified)"
0071,Victreebel,Grass Poison,207,135,190,12.5%,5%,"Acid, Razor Leaf","Acid Spray, Leaf Blade, Leaf Tornado, Sludge Bomb, Solar Beam, Frustration (Shadow), Return (Purified)"
0072,Tentacool,Water Poison,97,149,120,50%,15%,"Bubble, Poison Sting","Bubble Beam, Water Pulse, Wrap"
0073,Tentacruel,Water Poison,166,209,190,20%,7%,"Acid, Poison Jab","Acid Spray, Blizzard, Hydro Pump, Scald, Sludge Wave"
0074,Geodude,Rock Ground,132,132,120,50%,10%,"Rock Throw, Tackle","Dig, Rock Slide, Rock Tomb, Frustration (Shadow), Return (Purified)"
0074,Geodude Alolan Geodude,Rock Electric,132,132,120,50%,10%,"Rock Throw, Volt Switch","Rock Slide, Rock Tomb, Thunderbolt, Frustration (Shadow), Return (Purified)"
0075,Graveler,Rock Ground,164,164,146,25%,7%,"Mud-Slap, Rock Throw","Dig, Rock Blast, Stone Edge, Rock Slide (legacy), Frustration (Shadow), Return (Purified)"
0075,Graveler Alolan Graveler,Rock Electric,164,164,146,25%,7%,"Rock Throw, Volt Switch","Rock Blast, Stone Edge, Thunderbolt, Frustration (Shadow), Return (Purified)"
0076,Golem,Rock Ground,211,198,190,12.5%,5%,"Mud-Slap, Rock Throw","Ancient Power, Earthquake, Rock Blast, Stone Edge, Frustration (Shadow), Return (Purified)"
0076,Golem Alolan Golem,Rock Electric,211,198,190,12.5%,5%,"Rock Throw, Volt Switch, Rollout (Community Day)","Rock Blast, Stone Edge, Wild Charge, Frustration (Shadow), Return (Purified)"
0077,Ponyta,Fire,170,127,137,40%,10%,"Ember, Tackle","Flame Charge, Flame Wheel, Stomp, Fire Blast (legacy), Frustration (Shadow), Return (Purified)"
0077,Ponyta Galarian Ponyta,Psychic,170,127,137,40%,10%,"Low Kick, Psycho Cut","Play Rough, Psybeam, Swift, Frustration (Shadow), Return (Purified)"
0078,Rapidash,Fire,207,162,163,15%,6%,"Fire Spin, Incinerate, Low Kick, Ember (legacy)","Drill Run, Fire Blast, Flame Charge, Heat Wave, Scorching Sands, Frustration (Shadow), Return (Purified)"
0078,Rapidash Galarian Rapidash,Psychic Fairy,207,162,163,20%,6%,"Fairy Wind, Low Kick, Psycho Cut","Body Slam, High Horsepower, Megahorn, Play Rough, Psychic, Frustration (Shadow), Return (Purified)"
0079,Slowpoke,Water Psychic,109,98,207,50%,10%,"Confusion, Water Gun","Psychic, Psyshock, Water Pulse, Frustration (Shadow), Return (Purified)"
0079,Slowpoke Galarian Slowpoke,Psychic,109,98,207,50%,10%,"Confusion, Iron Tail","Psychic, Psyshock, Surf, Frustration (Shadow), Return (Purified)"
0080,Slowbro,Water Psychic,177,180,216,20%,6%,"Confusion, Water Gun","Ice Beam, Psychic, Water Pulse, Surf (Community Day), Frustration (Shadow), Return (Purified)"
0080,Slowbro Mega Slowbro,Water Psychic,224,259,216,20%,6%,,
0080,Slowbro Galarian Slowbro,Poison Psychic,182,156,216,20%,6%,"Confusion, Poison Jab","Focus Blast, Psychic, Sludge Bomb, Surf (Community Day), Frustration (Shadow), Return (Purified)"
0081,Magnemite,Electric Steel,165,121,93,50%,10%,"Spark, Thunder Shock, Volt Switch","Discharge, Magnet Bomb, Thunderbolt, Frustration (Shadow), Return (Purified)"
0082,Magneton,Electric Steel,223,169,137,20%,6%,"Charge Beam, Spark, Thunder Shock, Volt Switch","Discharge, Flash Cannon, Magnet Bomb, Zap Cannon, Frustration (Shadow), Return (Purified)"
0083,Farfetch'd,Normal Flying,124,115,141,30%,9%,"Air Slash, Fury Cutter, Cut (legacy)","Aerial Ace, Air Cutter, Leaf Blade, Frustration (Shadow), Return (Purified)"
0083,Farfetch'd Galarian Farfetch'd,Fighting,174,114,141,30%,9%,"Fury Cutter, Rock Smash","Brave Bird, Brick Break, Leaf Blade, Frustration (Shadow), Return (Purified)"
0084,Doduo,Normal Flying,158,83,111,50%,10%,"Peck, Quick Attack","Aerial Ace, Brave Bird, Drill Peck, Swift (legacy)"
0085,Dodrio,Normal Flying,218,140,155,20%,6%,"Feint Attack, Steel Wing","Aerial Ace, Brave Bird, Drill Peck, Air Cutter (legacy)"
0086,Seel,Water,85,121,163,50%,9%,"Ice Shard, Lick, Water Gun (legacy)","Aqua Tail, Aurora Beam, Icy Wind, Aqua Jet (legacy)"
0087,Dewgong,Water Ice,139,177,207,20%,6%,"Frost Breath, Iron Tail, Ice Shard (legacy)","Aurora Beam, Blizzard, Drill Run, Liquidation, Water Pulse, Aqua Jet (legacy), Icy Wind (legacy)"
0088,Grimer,Poison,135,90,190,50%,10%,"Mud-Slap, Poison Jab","Mud Bomb, Sludge, Sludge Bomb, Frustration (Shadow), Return (Purified)"
0088,Grimer Alolan Grimer,Poison Dark,135,90,190,50%,10%,"Bite, Poison Jab","Crunch, Gunk Shot, Sludge Bomb, Frustration (Shadow), Return (Purified)"
0089,Muk,Poison,190,172,233,20%,6%,"Infestation, Poison Jab, Lick (legacy)","Acid Spray, Dark Pulse, Gunk Shot, Sludge Wave, Thunder Punch, Frustration (Shadow), Return (Purified)"
0089,Muk Alolan Muk,Poison Dark,190,172,233,20%,6%,"Bite, Poison Jab, Snarl","Acid Spray, Dark Pulse, Gunk Shot, Sludge Wave, Frustration (Shadow), Return (Purified)"
0090,Shellder,Water,116,134,102,50%,10%,"Ice Shard, Tackle","Bubble Beam, Icy Wind, Razor Shell, Water Pulse, Frustration (Shadow), Return (Purified)"
0091,Cloyster,Water Ice,186,256,137,20%,6%,"Frost Breath, Ice Shard","Aurora Beam, Avalanche, Hydro Pump, Icy Wind, Liquidation, Razor Shell, Blizzard (legacy), Frustration (Shadow), Return (Purified)"
0092,Gastly,Ghost Poison,186,67,102,40%,10%,"Astonish, Lick, Sucker Punch (legacy)","Dark Pulse, Night Shade, Sludge Bomb, Ominous Wind (legacy), Frustration (Shadow), Return (Purified)"
0093,Haunter,Ghost Poison,223,107,128,20%,7%,"Astonish, Shadow Claw, Lick (legacy)","Dark Pulse, Ice Punch, Shadow Ball, Shadow Punch, Sludge Bomb, Frustration (Shadow), Return (Purified)"
0094,Gengar,Ghost Poison,261,149,155,10%,5%,"Hex, Shadow Claw, Sucker Punch, Lick (legacy)","Focus Blast, Shadow Ball, Sludge Bomb, Dark Pulse (legacy), Psychic (legacy), Sludge Wave (legacy), Shadow Punch (Community Day), Frustration (Shadow), Return (Purified)"
0094,Gengar Mega Gengar,Ghost Poison,349,199,155,10%,5%,,
0095,Onix,Rock Ground,85,232,111,20%,9%,"Rock Throw, Tackle","Breaking Swipe, Heavy Slam, Sand Tomb, Stone Edge, Iron Head (legacy), Rock Slide (legacy), Frustration (Shadow), Return (Purified)"
0096,Drowzee,Psychic,89,136,155,50%,10%,"Confusion, Pound","Psybeam, Psychic, Psyshock, Frustration (Shadow), Return (Purified)"
0097,Hypno,Psychic,144,193,198,20%,6%,"Confusion, Zen Headbutt","Fire Punch, Focus Blast, Future Sight, Ice Punch, Psychic, Shadow Ball, Thunder Punch, Psyshock (legacy), Frustration (Shadow), Return (Purified)"
0098,Krabby,Water,181,124,102,50%,15%,"Bubble, Mud Shot","Bubble Beam, Razor Shell, Vise Grip, Water Pulse, Frustration (Shadow), Return (Purified)"
0099,Kingler,Water,240,181,146,20%,7%,"Bubble, Metal Claw, Mud Shot (legacy)","Crabhammer, Razor Shell, Vise Grip, Water Pulse, X-Scissor, Frustration (Shadow), Return (Purified)"
0100,Voltorb,Electric,109,111,120,50%,10%,"Spark, Tackle","Discharge, Gyro Ball, Thunderbolt, Signal Beam (legacy), Frustration (Shadow), Return (Purified)"
0100,Voltorb Hisuian Voltorb,Electric Grass,109,111,120,50%,10%,"Charge Beam, Tackle","Energy Ball, Swift, Thunderbolt, Frustration (Shadow), Return (Purified)"
0101,Electrode,Electric,173,173,155,20%,6%,"Spark, Volt Switch, Tackle (legacy)","Discharge, Foul Play, Hyper Beam, Thunderbolt, Frustration (Shadow), Return (Purified)"
0101,Electrode Hisuian Electrode,Electric Grass,176,176,155,20%,6%,"Tackle, Thunder Shock","Energy Ball, Swift, Wild Charge, Frustration (Shadow), Return (Purified)"
0102,Exeggcute,Grass Psychic,107,125,155,50%,10%,"Bullet Seed, Confusion","Ancient Power, Psychic, Seed Bomb, Frustration (Shadow), Return (Purified)"
0103,Exeggutor,Grass Psychic,233,149,216,20%,6%,"Bullet Seed, Confusion, Extrasensory, Zen Headbutt (legacy)","Psychic, Seed Bomb, Solar Beam, Frustration (Shadow), Return (Purified)"
0103,Exeggutor Alolan Exeggutor,Grass Dragon,230,153,216,20%,6%,"Bullet Seed, Dragon Tail","Dragon Pulse, Seed Bomb, Solar Beam, Draco Meteor (legacy), Frustration (Shadow), Return (Purified)"
0104,Cubone,Ground,90,144,137,40%,10%,"Mud-Slap, Rock Smash","Bone Club, Bulldoze, Dig, Frustration (Shadow), Return (Purified)"
0105,Marowak,Ground,144,186,155,15%,6%,"Mud-Slap, Rock Smash","Bone Club, Dig, Earthquake, Rock Slide, Frustration (Shadow), Return (Purified)"
0105,Marowak Alolan Marowak,Fire Ghost,144,186,155,15%,6%,"Fire Spin, Hex, Rock Smash","Bone Club, Fire Blast, Flame Wheel, Shadow Ball, Shadow Bone (legacy), Frustration (Shadow), Return (Purified)"
0106,Hitmonlee,Fighting,224,181,137,20%,9%,"Double Kick, Low Kick, Rock Smash","Blaze Kick, Close Combat, Low Sweep, Stone Edge, Brick Break (legacy), Stomp (legacy), Frustration (Shadow), Return (Purified)"
0107,Hitmonchan,Fighting,193,197,137,20%,9%,"Bullet Punch, Counter, Rock Smash (legacy)","Close Combat, Fire Punch, Ice Punch, Power-Up Punch, Thunder Punch, Brick Break (legacy), Frustration (Shadow), Return (Purified)"
0108,Lickitung,Normal,108,137,207,20%,9%,"Lick, Zen Headbutt","Hyper Beam, Power Whip, Stomp, Body Slam (legacy)"
0109,Koffing,Poison,119,141,120,50%,10%,"Infestation, Tackle","Dark Pulse, Sludge, Sludge Bomb, Frustration (Shadow), Return (Purified)"
0110,Weezing,Poison,174,197,163,20%,6%,"Infestation, Tackle","Dark Pulse, Shadow Ball, Sludge Bomb, Thunderbolt, Frustration (Shadow), Return (Purified)"
0110,Weezing Galarian Weezing,Poison Fairy,174,197,163,20%,6%,"Fairy Wind, Tackle","Brutal Swing, Hyper Beam, Overheat, Play Rough, Sludge, Frustration (Shadow), Return (Purified)"
0111,Rhyhorn,Ground Rock,140,127,190,50%,10%,"Mud-Slap, Rock Smash","Bulldoze, Horn Attack, Stomp, Frustration (Shadow), Return (Purified)"
0112,Rhydon,Ground Rock,222,171,233,5%,6%,"Mud-Slap, Rock Smash","Breaking Swipe, Earthquake, Stone Edge, Surf, Megahorn (legacy), Frustration (Shadow), Return (Purified)"
0113,Chansey,Normal,60,128,487,20%,9%,"Pound, Zen Headbutt","Dazzling Gleam, Hyper Beam, Psychic"
0114,Tangela,Grass,183,169,163,40%,9%,"Infestation, Vine Whip","Grass Knot, Sludge Bomb, Solar Beam, Power Whip (legacy), Frustration (Shadow), Return (Purified)"
0115,Kangaskhan,Normal,181,165,233,20%,9%,"Low Kick, Mud-Slap","Crunch, Earthquake, Outrage, Power-Up Punch, Brick Break (legacy), Stomp (legacy), Frustration (Shadow), Return (Purified)"
0115,Kangaskhan Mega Kangaskhan,Normal,246,210,233,20%,9%,,
0116,Horsea,Water,129,103,102,50%,10%,"Bubble, Water Gun","Bubble Beam, Dragon Pulse, Flash Cannon, Frustration (Shadow), Return (Purified)"
0117,Seadra,Water,187,156,146,20%,6%,"Dragon Breath, Water Gun","Aurora Beam, Dragon Pulse, Hydro Pump, Blizzard (legacy), Frustration (Shadow), Return (Purified)"
0118,Goldeen,Water,123,110,128,50%,15%,"Mud Shot, Peck","Aqua Tail, Horn Attack, Water Pulse"
